rfIndep_vimp,rfDep_vimp,erIndep_vimp,erDep_vimp,arIndep_vimp,arDep_vimp,model,var,beta
2,1,2,2,2,2,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
2,4,2,2,3,2,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,2,2,1,1,A,night-level,0.693147181
3,1,5,2,3,2,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
2,3,3,3,3,4,A,night-level,0.693147181
2,2,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
4,4,3,4,4,4,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
2,2,2,2,2,2,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,2,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
3,3,2,3,3,3,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
2,2,1,1,2,2,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
2,2,2,2,2,2,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,2,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,2,1,2,1,2,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,2,2,2,1,2,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,2,2,1,2,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
4,4,3,4,3,4,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
2,3,3,3,3,2,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,2,2,1,1,A,night-level,0.693147181
2,3,2,2,1,2,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,2,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
2,4,3,2,2,2,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
2,2,1,2,1,2,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
2.5,3,1,1,2,2,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
2,2,2,2,2,2,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
3,3,3,3,3,3,A,night-level,0.693147181
1,1,2,1,2,2,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
3,2,3,2,3,2,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
2,2,2,2,2,2,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,2,2,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
2,2,1,2,2,2,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,2,2,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,2,2,2,1,2,A,night-level,0.693147181
5,5,5,4,5,5,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
2,2,2,2,2,2,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
2,2,1,2,2,2,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,2,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,2,2,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,2,2,1,1,2,A,night-level,0.693147181
1,1,2,2,2,2,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
2,2,2,2,2,2,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,2,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,2,2,2,2,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
2,2,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
2,2,2,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,2,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1.5,2,1,1,1,1,A,night-level,0.693147181
1,1,1,2,1,1,A,night-level,0.693147181
1,1,1,1,2,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,2,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
2,2,2,2,2,2,A,night-level,0.693147181
1,2,2,2,2,2,A,night-level,0.693147181
2,2,2,3,2,2,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
2,1,1,1,2,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,2,2,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,2,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,2,2,1,2,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
2,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
3,3,3,3,3,3,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,2,1,1,1,A,night-level,0.693147181
2,2,2,2,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
3,2,2,2,2,2,A,night-level,0.693147181
2,1,1,2,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
4,4,4,5,4,5,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
3,3,2,2,3,3,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
3,3,3,3,3,3,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,2,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,2,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
2,2,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,2,1,1,A,night-level,0.693147181
2,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
2,2,2.5,4,4,3,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
2,1,2,3,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
4,4,3,3,3,3,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
2.5,2,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,2,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
2,2,1,1,2,2,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,2,2,1,2,A,night-level,0.693147181
3,2,2,1,2,2,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
3,3,1,1,1,1,A,night-level,0.693147181
2,3,3,3,3,3,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
3,2.5,4,4,3,3,A,night-level,0.693147181
1,2,1,1,1,1,A,night-level,0.693147181
1,2,2,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
3,4,2,5,3,4,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
2,2,1,1,1,1,A,night-level,0.693147181
1,1,2,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
2,3,4,1,2,2,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
2,2,2,2,2,2,A,night-level,0.693147181
2,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,2,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
4,4,4,4,4,4,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,2,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
3,2,2,2,3,3,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1.5,1,1,A,night-level,0.693147181
1,1,1,2,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
2,2,1,1,1,1,A,night-level,0.693147181
2,1,1,1,2,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
2,2,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
5,5,2.5,3,4,3,A,night-level,0.693147181
1,1,1,1,1,1,A,night-level,0.693147181
